user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ERR2641677_bin.2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__Scatacola_A faecigallinarum	GCA_018713605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__Scatacola_A faecigallinarum	97.59	0.888	GCA_018713605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__Scatacola_A faecigallinarum	97.59	0.888	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944391505.1, s__Scatacola_A sp944391505, 95.0, 85.01, 0.274	93.33	11	N/A	N/A
ERR2641677_bin.21	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae	GCF_040096455.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae	99.2	0.937	GCF_040096455.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae	99.2	0.937	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_050874785.1, s__Lachnospira sp050874785, 95.0, 94.51, 0.804	88.04	11	N/A	N/A
ERR2641677_bin.25	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp900556915	GCF_024460475.1	95.94	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp900556915	96.97	0.792	GCF_014306155.1	95.87	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella hominis	96.42	0.76	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	taxonomic classification defined by topology and ANI	N/A	GCF_009696075.1, s__Holdemanella porci, 95.0, 96.46, 0.747; GCA_938036765.1, s__Holdemanella sp900547815, 95.0, 90.46, 0.589; GCF_000156655.1, s__Holdemanella biformis, 95.0, 90.97, 0.628; GCF_900754615.1, s__Holdemanella sp900754615, 95.0, 88.91, 0.506; GCF_003458715.1, s__Holdemanella sp003458715, 95.0, 89.32, 0.531; GCF_934772795.1, s__Holdemanella sp934772795, 95.18, 92.89, 0.707; GCA_003436425.1, s__Holdemanella sp003436425, 95.0, 94.41, 0.764; GCF_934754935.1, s__Holdemanella sp934754935, 95.0, 89.77, 0.595	87.78	11	N/A	N/A
ERR2641677_bin.38	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	GCF_025567285.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	98.79	0.907	GCF_025567285.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	98.79	0.907	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902461735.1, s__Coprococcus sp902461735, 95.42, 90.0, 0.33; GCF_025149915.1, s__Coprococcus eutactus, 95.0, 91.94, 0.364; GCA_934247115.1, s__Coprococcus sp934247115, 95.0, 91.54, 0.477; GCA_963600665.1, s__Coprococcus sp963600665, 95.0, 93.58, 0.598; GCA_029338615.1, s__Coprococcus sp029338615, 95.0, 90.46, 0.323; GCA_934277375.1, s__Coprococcus sp934277375, 95.0, 89.92, 0.396; GCA_050874325.1, s__Coprococcus sp050874325, 95.0, 85.43, 0.204; GCA_016297325.1, s__Coprococcus sp016297325, 95.0, 86.75, 0.203; GCA_900548215.1, s__Coprococcus sp900548215, 95.0, 90.27, 0.294; GCA_900557435.1, s__Coprococcus sp900557435, 95.0, 91.47, 0.261; GCA_934270935.1, s__Coprococcus sp934270935, 95.18, 88.52, 0.258; GCA_900548315.1, s__Coprococcus sp900548315, 95.0, 91.29, 0.309	92.53	11	N/A	N/A
ERR2641677_bin.4	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	GCF_025148125.1	95.13	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	98.21	0.747	GCF_025148125.1	95.13	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	98.21	0.747	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003471165.1, s__Blautia_A sp003471165, 95.0, 89.38, 0.279; GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 95.16, 0.589; GCF_018919065.1, s__Blautia_A sp018919065, 95.0, 89.1, 0.24; GCF_033096465.1, s__Blautia_A luti, 95.0, 88.33, 0.191; GCF_014297245.1, s__Blautia_A difficilis, 95.0, 88.48, 0.201; GCA_934437695.1, s__Blautia_A sp934437695, 95.0, 87.02, 0.254; GCA_003477525.1, s__Blautia_A sp003477525, 95.0, 87.06, 0.194; GCF_052064095.1, s__Blautia_A sp052064095, 95.4, 89.03, 0.22; GCA_958454115.1, s__Blautia_A wexlerae_C, 95.0, 96.59, 0.393; GCA_934416185.1, s__Blautia_A sp934416185, 95.0, 86.25, 0.186	88.34	11	N/A	N/A
ERR2641677_bin.48	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola aceti	GCF_025567495.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola aceti	97.76	0.844	GCF_025567495.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola aceti	97.76	0.844	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_937898375.1, s__Hominimerdicola sp937898375, 95.0, 92.33, 0.592; GCA_934435205.1, s__Hominimerdicola sp934435205, 95.0, 95.23, 0.788; GCF_900539095.1, s__Hominimerdicola sp900539095, 95.0, 90.0, 0.588	93.65	11	N/A	N/A
ERR2641677_bin.49	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	98.95	0.926	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	98.95	0.926	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_947624785.1, s__Akkermansia muciniphila_F, 95.0, 87.23, 0.503; GCF_023516715.1, s__Akkermansia massiliensis, 95.02, 87.56, 0.516; GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 85.44, 0.383; GCA_048388685.1, s__Akkermansia sp048388685, 95.0, 85.26, 0.355; GCF_026072915.1, s__Akkermansia biwaensis, 95.0, 82.04, 0.17; GCA_021202525.1, s__Akkermansia sp021202525, 95.0, 82.2, 0.161; GCA_905200945.1, s__Akkermansia sp905200945, 95.0, 94.44, 0.846; GCF_040616545.1, s__Akkermansia muciniphila_E, 95.0, 85.46, 0.383; GCF_030848305.1, s__Akkermansia muciniphila_A, 95.0, 93.67, 0.806; GCF_020860705.1, s__Akkermansia sp020860705, 95.0, 85.39, 0.356	94.77	11	N/A	N/A
ERR2641677_bin.5	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis	GCF_009695995.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis	97.05	0.746	GCF_009695995.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis	97.05	0.746	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900772845.1, s__Acetatifactor sp900772845, 95.0, 88.28, 0.399; GCA_963630275.1, s__Acetatifactor sp963630275, 95.0, 88.03, 0.398; GCF_025567015.1, s__Acetatifactor acetigignens, 95.0, 89.98, 0.48; GCA_934436245.1, s__Acetatifactor sp934436245, 95.0, 88.8, 0.342; GCA_050872885.1, s__Acetatifactor sp050872885, 95.0, 84.69, 0.208; GCA_934394815.1, s__Acetatifactor sp934394815, 95.0, 87.04, 0.315; GCA_900766575.1, s__Acetatifactor sp900766575, 95.0, 87.05, 0.245; GCA_945929965.1, s__Acetatifactor sp945929965, 95.36, 93.0, 0.609; GCA_963650795.1, s__Acetatifactor sp963650795, 95.0, 86.91, 0.321; GCA_934394665.1, s__Acetatifactor sp934394665, 95.0, 87.27, 0.198; GCA_040096245.1, s__Acetatifactor hominis, 95.0, 93.15, 0.676; GCA_002431915.1, s__Acetatifactor sp002431915, 95.0, 87.34, 0.38; GCA_934436435.1, s__Acetatifactor sp934436435, 95.0, 86.66, 0.308; GCA_050873925.1, s__Acetatifactor sp050873925, 95.0, 86.51, 0.263; GCA_934394515.1, s__Acetatifactor sp934394515, 95.0, 83.8, 0.16; GCA_963623435.1, s__Acetatifactor sp963623435, 95.0, 86.43, 0.297; GCA_900771995.1, s__Acetatifactor sp900771995, 95.0, 86.76, 0.336	85.41	11	N/A	N/A
ERR2641677_bin.53	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp934835795	GCA_040095065.1	96.51	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp934835795	97.5	0.898	GCA_040095065.1	96.51	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp934835795	97.5	0.898	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934572445.1, s__Hominicoprocola sp934572445, 95.0, 86.65, 0.27; GCA_037343695.1, s__Hominicoprocola sp037343695, 95.0, 88.97, 0.476; GCA_900768135.1, s__Hominicoprocola sp900768135, 95.0, 84.31, 0.182; GCA_900550165.1, s__Hominicoprocola sp900550165, 95.0, 89.12, 0.478; GCA_900552015.1, s__Hominicoprocola sp900552015, 95.0, 90.49, 0.56; GCA_963612845.1, s__Hominicoprocola sp963612845, 95.0, 83.4, 0.171; GCA_003522105.1, s__Hominicoprocola sp003522105, 95.0, 88.12, 0.411; GCA_937884915.1, s__Hominicoprocola sp937884915, 95.0, 92.9, 0.585; GCA_934636865.1, s__Hominicoprocola sp934636865, 95.0, 86.82, 0.408; GCA_934597535.1, s__Hominicoprocola sp934597535, 95.0, 87.46, 0.352; GCA_900546295.1, s__Hominicoprocola sp900546295, 95.0, 87.43, 0.404; GCA_963623615.1, s__Hominicoprocola sp963623615, 95.0, 92.36, 0.627; GCA_900763705.1, s__Hominicoprocola sp900763705, 95.0, 89.55, 0.498; GCA_934561515.1, s__Hominicoprocola sp900556145, 95.0, 86.89, 0.355; GCA_002405995.1, s__Hominicoprocola sp002405995, 95.0, 85.56, 0.232; GCA_020687125.1, s__Hominicoprocola fusiformis, 95.0, 96.74, 0.841; GCA_934572465.1, s__Hominicoprocola sp934572465, 95.0, 85.21, 0.256	89.86	11	N/A	N/A
ERR2641677_bin.66	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	99.53	0.932	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	99.53	0.932	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.91	11	N/A	N/A
ERR2641677_bin.68	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides intestinale	GCF_040096305.1	95.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides intestinale	97.6	0.805	GCF_040096305.1	95.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides intestinale	97.6	0.805	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905215855.1, s__Ruminococcoides sp905215855, 95.0, 94.4, 0.714; GCA_902771755.1, s__Ruminococcoides sp902771755, 95.0, 91.92, 0.617; GCF_002834225.1, s__Ruminococcoides bromii, 95.0, 95.02, 0.741; GCA_902766775.1, s__Ruminococcoides sp902766775, 95.0, 90.63, 0.566	95.83	11	N/A	N/A
ERR2641677_bin.71	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	GCF_000196555.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	98.85	0.85	GCF_000196555.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	98.85	0.85	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001025175.1, s__Bifidobacterium breve, 95.0, 87.86, 0.252; GCF_959020155.1, s__Bifidobacterium sp959020155, 95.0, 95.67, 0.476; GCF_000269965.1, s__Bifidobacterium infantis, 95.05, 94.97, 0.647; GCA_022739095.1, s__Bifidobacterium sp022739095, 95.0, 94.34, 0.536	88.86	11	N/A	N/A
ERR2641733_bin.10	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	GCF_025567285.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	98.8	0.893	GCF_025567285.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	98.8	0.893	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902461735.1, s__Coprococcus sp902461735, 95.42, 90.58, 0.312; GCA_963600665.1, s__Coprococcus sp963600665, 95.0, 93.71, 0.596; GCA_900557435.1, s__Coprococcus sp900557435, 95.0, 91.2, 0.268; GCA_934247115.1, s__Coprococcus sp934247115, 95.0, 91.45, 0.502; GCA_900548215.1, s__Coprococcus sp900548215, 95.0, 90.06, 0.294; GCA_050874325.1, s__Coprococcus sp050874325, 95.0, 85.44, 0.206; GCA_934277375.1, s__Coprococcus sp934277375, 95.0, 89.62, 0.369; GCA_934270935.1, s__Coprococcus sp934270935, 95.18, 88.81, 0.246; GCF_025149915.1, s__Coprococcus eutactus, 95.0, 90.96, 0.365; GCA_029338615.1, s__Coprococcus sp029338615, 95.0, 90.4, 0.334; GCA_016297325.1, s__Coprococcus sp016297325, 95.0, 86.98, 0.207; GCA_900548315.1, s__Coprococcus sp900548315, 95.0, 90.48, 0.323	90.24	11	N/A	N/A
ERR2641733_bin.18	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435975	GCA_000435975.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435975	98.14	0.871	GCA_000435975.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435975	98.14	0.871	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_020687045.1, s__Vescimonas cirricatena, 95.0, 90.48, 0.541	78.72	11	N/A	N/A
ERR2641733_bin.19	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp934589185	GCA_934589185.1	95.43	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp934589185	97.65	0.785	GCA_900317855.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855	95.33	0.785	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900757655.1, s__CAG-103 sp900757655, 95.0, 94.01, 0.763; GCA_963627135.1, s__CAG-103 sp963627135, 95.0, 93.33, 0.711; GCA_048217285.1, s__CAG-103 sp048217285, 95.0, 91.62, 0.667; GCA_025757645.1, s__CAG-103 sp000432375, 95.0, 94.13, 0.789; GCA_934591895.1, s__CAG-103 sp934591895, 95.0, 90.66, 0.634; GCA_900543625.1, s__CAG-103 sp900543625, 95.0, 90.78, 0.654; GCA_905215475.1, s__CAG-103 sp905215475, 95.0, 90.37, 0.607	85.65	11	N/A	N/A
ERR2641733_bin.23	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium aceti	GCF_025567095.1	95.11	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium aceti	98.4	0.818	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCA_934292725.1, s__Anthropogastromicrobium sp934292725, 95.0, 95.51, 0.729; GCA_052273485.1, s__Anthropogastromicrobium sp052273485, 95.0, 88.27, 0.214; GCA_958446555.1, s__Anthropogastromicrobium sp958446555, 95.0, 91.42, 0.18	79.9	11	N/A	Genome has more than 10.8% of markers with multiple hits
ERR2641733_bin.27	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	98.15	0.92	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	98.15	0.92	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.23, 0.254; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.21, 0.32; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.66, 0.41; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.54, 0.388	96.11	11	N/A	N/A
ERR2641733_bin.34	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp900545805	GCA_900545805.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp900545805	98.72	0.92	GCA_900545805.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp900545805	98.72	0.92	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001916715.1, s__F23-B02 sp001916715, 95.0, 85.08, 0.306; GCA_963625685.1, s__F23-B02 sp963625685, 95.0, 84.7, 0.294; GCA_002472405.1, s__F23-B02 sp002472405, 95.0, 85.22, 0.31; GCA_963608145.1, s__F23-B02 sp963608145, 95.0, 86.24, 0.286; GCA_934636655.1, s__F23-B02 sp934636655, 95.0, 88.82, 0.486; GCA_963633225.1, s__F23-B02 sp963633225, 95.0, 84.02, 0.231; GCA_937893605.1, s__F23-B02 sp937893605, 95.0, 88.56, 0.51; GCA_963629425.1, s__F23-B02 sp963629425, 95.0, 87.83, 0.49; GCA_004558025.1, s__F23-B02 sp004558025, 95.0, 88.92, 0.539; GCA_963620985.1, s__F23-B02 sp963620985, 95.0, 84.92, 0.309; GCA_963613665.1, s__F23-B02 sp963613665, 95.0, 84.08, 0.291; GCA_963650165.1, s__F23-B02 sp963650165, 95.0, 84.65, 0.3	99.24	11	N/A	N/A
ERR2641733_bin.42	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-390;s__CAG-390 sp000437015	GCA_905210995.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-390;s__CAG-390 sp000437015	99.59	0.937	GCA_905210995.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-390;s__CAG-390 sp000437015	99.59	0.937	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-390;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	89.78	11	N/A	N/A
ERR2641733_bin.46	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	GCF_030296915.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	98.79	0.783	GCF_030296915.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	98.79	0.783	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_025567365.1, s__Anaerostipes amylophilus, 95.0, 89.93, 0.442; GCA_902362875.1, s__Anaerostipes sp900066705, 95.0, 89.88, 0.422; GCA_019423795.1, s__Anaerostipes sp019423795, 95.0, 95.48, 0.678; GCA_036312945.1, s__Anaerostipes hadrus_C, 95.0, 95.91, 0.73	82.69	11	N/A	Genome has more than 12.5% of markers with multiple hits
ERR2641733_bin.5	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	GCF_027667425.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	98.28	0.859	GCF_027667425.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	98.28	0.859	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963661155.1, s__Fusicatenibacter massiliensis_A, 95.0, 88.26, 0.349; GCA_900772675.1, s__Fusicatenibacter sp900772675, 95.0, 92.47, 0.432; GCA_050872605.1, s__Fusicatenibacter sp050872605, 95.0, 95.62, 0.706; GCA_963596755.1, s__Fusicatenibacter sp963596755, 95.0, 89.67, 0.406	89.16	11	N/A	N/A
ERR2641733_bin.52	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	GCA_000437595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	97.4	0.843	GCA_000437595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	97.4	0.843	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	83.35	11	N/A	N/A
